2023-12-25 23:12:331 INFO  ManageBrowser :31 - launching chrome browser
2024-01-01 19:01:962 INFO  HomePage :104 - Getting Home Page URL : 
2024-01-01 19:01:46 INFO  HomePage :91 - CLicking on Contact us header tab : [[[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2024-01-01 19:01:68 INFO  ContactUsPage :53 - Getting text from welcome page : [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //h2[normalize-space()='Get In Touch']]
2024-01-01 19:01:185 INFO  ContactUsPage :59 - Sending Hello to name field : [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //input[@placeholder='Name']]
2024-01-01 19:01:285 INFO  ContactUsPage :64 - Sending hello123@gmail.com to email field : [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //input[@placeholder='Email']]
2024-01-01 19:01:375 INFO  ContactUsPage :69 - Sending About product to subject field : [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //input[@placeholder='Subject']]
2024-01-01 19:01:389 INFO  ContactUsPage :73 - Sending This product is nice to message field : [[ChromeDriver: chrome on windows (ef5df0bdea6b3c75ba5404d6809756c2)] -> xpath: //textarea[@id='message']]
2024-01-01 19:01:690 INFO  HomePage :104 - Getting Home Page URL : 
2024-01-01 19:01:844 INFO  HomePage :91 - CLicking on Test Cases header tab : [[[ChromeDriver: chrome on windows (34a22b8e8988caf92d696573963267e3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (34a22b8e8988caf92d696573963267e3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (34a22b8e8988caf92d696573963267e3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (34a22b8e8988caf92d696573963267e3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (34a22b8e8988caf92d696573963267e3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (34a22b8e8988caf92d696573963267e3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (34a22b8e8988caf92d696573963267e3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (34a22b8e8988caf92d696573963267e3)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2024-01-01 19:01:872 INFO  HomePage :104 - Getting Home Page URL : 
2024-01-01 19:01:913 INFO  HomePage :144 - Scroll Down to Subscription
2024-01-01 19:01:138 INFO  HomePage :166 - Sending hello123@gmail.com to subscription email field : [[ChromeDriver: chrome on windows (a274ab4e8b0aca718afacba7517aa9e3)] -> xpath: //input[@id='susbscribe_email']]
2024-01-01 19:01:189 INFO  HomePage :171 - Clicking on subscription arrow button : [[ChromeDriver: chrome on windows (a274ab4e8b0aca718afacba7517aa9e3)] -> xpath: //i[@class='fa fa-arrow-circle-o-right']]
2024-01-01 19:01:205 INFO  HomePage :175 - Getting subscription success message : [[ChromeDriver: chrome on windows (a274ab4e8b0aca718afacba7517aa9e3)] -> xpath: //div[@class='alert-success alert']]
2024-01-01 19:01:327 INFO  HomePage :104 - Getting Home Page URL : 
2024-01-01 19:01:137 INFO  HomePage :91 - CLicking on Cart header tab : [[[ChromeDriver: chrome on windows (c076ac4ca9b601a988920a6509e7775b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c076ac4ca9b601a988920a6509e7775b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c076ac4ca9b601a988920a6509e7775b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c076ac4ca9b601a988920a6509e7775b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c076ac4ca9b601a988920a6509e7775b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c076ac4ca9b601a988920a6509e7775b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c076ac4ca9b601a988920a6509e7775b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c076ac4ca9b601a988920a6509e7775b)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2024-01-01 19:01:233 INFO  HomePage :144 - Scroll Down to Subscription
2024-01-01 19:01:350 INFO  HomePage :166 - Sending hello123@gmail.com to subscription email field : [[ChromeDriver: chrome on windows (c076ac4ca9b601a988920a6509e7775b)] -> xpath: //input[@id='susbscribe_email']]
2024-01-01 19:01:403 INFO  HomePage :171 - Clicking on subscription arrow button : [[ChromeDriver: chrome on windows (c076ac4ca9b601a988920a6509e7775b)] -> xpath: //i[@class='fa fa-arrow-circle-o-right']]
2024-01-01 19:01:418 INFO  HomePage :175 - Getting subscription success message : [[ChromeDriver: chrome on windows (c076ac4ca9b601a988920a6509e7775b)] -> xpath: //div[@class='alert-success alert']]
2024-01-01 19:01:195 INFO  HomePage :104 - Getting Home Page URL : 
